label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,25.944652908067543,508.87148217636025,0,495,53,524
2,10.982781456953642,828.8569536423842,0,813,28,851
3,44.57890365448505,423.41279069767444,17,411,74,438
4,257.77840375586857,756.7990610328638,242,738,278,779
5,302.6257822277847,344.30413016270336,287,329,321,362
6,304.2478941034898,657.2575210589652,292,637,318,679
7,343.09175084175087,1053.993265993266,324,1035,366,1076
8,367.07954545454544,317.34527972027973,348,300,391,339
9,407.4910394265233,952.5188172043011,387,934,430,971
10,474.1004431314623,930.9763663220089,459,916,489,948
11,537.0661345496009,948.557582668187,523,930,554,969
12,550.7320799059929,233.5840188014101,534,218,571,251
13,558.3958197256695,599.5271064663618,538,577,584,627
14,630.2935267857143,1125.0613839285713,618,1103,645,1148
15,659.4029380902414,314.39979013641135,647,292,674,338
16,746.4631008801625,657.3466486120515,725,636,771,685
17,758.8545994065282,866.4080118694362,742,855,777,880
18,780.1854734111544,1274.632944228275,762,1261,799,1290
19,784.4092039800995,1228.6281094527362,766,1215,804,1243
20,791.5322715842414,1373.4576697401508,774,1353,812,1392
21,839.0738724727838,163.2768273716952,820,143,862,189
22,1013.9077079107506,723.7038539553753,996,707,1034,743
23,1031.7899761336516,1218.2028639618138,1022,1204,1040,1233
