label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,49.11184210526316,421.6466165413534,25,409,75,436
2,242.88823529411764,1355.1558823529413,227,1336,263,1377
3,259.1680071492404,775.2019660411081,241,757,281,798
4,299.36601307189545,669.5334967320262,280,644,320,696
5,336.99207746478874,890.9322183098592,319,869,354,913
6,482.7192575406032,956.5696055684455,466,940,501,975
7,513.9049964813512,912.7199155524279,493,891,536,934
8,623.9308333333333,242.63416666666666,606,220,643,266
9,694.6542991755006,1088.9840989399293,667,1066,723,1111
10,885.0944108761329,942.215256797583,865,924,912,965
11,886.2220902612827,1152.1567695961996,866,1138,906,1169
12,936.7624565469293,1145.9733487833141,921,1125,952,1167
13,974.8883994126285,1354.859765051395,951,1337,1001,1374
14,1014.7669172932331,45.32330827067669,994,28,1040,65
15,1011.5906515580737,1298.460339943343,994,1285,1030,1312
16,1027.5550049554015,773.197224975223,1012,750,1040,796
