label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,30.5232452142206,269.5123062898815,13,251,51,291
2,51.55223880597015,499.95658073270016,35,485,69,516
3,75.86524163568774,316.36431226765797,59,298,97,338
4,154.59014778325124,571.9290640394089,137,555,176,592
5,244.68732125834129,733.2249761677789,231,708,260,758
6,267.7312883435583,819.40245398773,255,800,282,840
7,281.25297432686284,1109.2204132748905,263,1081,305,1141
8,297.9522326064382,668.6510903426791,283,646,314,692
9,300.33921161825725,1274.9989626556016,284,1256,318,1295
10,351.0345224395857,204.9102416570771,337,187,369,226
11,429.52065471551055,1107.6126266562744,409,1088,454,1131
12,472.4791122715405,1049.313315926893,454,1037,491,1063
13,491.65583173996174,1308.1099426386234,475,1289,511,1330
14,520.0883895131086,1021.6007490636704,499,1000,543,1045
15,527.7019562715765,880.9907940161105,510,863,547,900
16,574.2485549132948,883.5895953757225,560,868,590,901
17,755.1613780598368,669.5729827742521,734,653,778,688
18,799.8674275680421,1042.4960491659351,780,1025,822,1062
19,816.8743961352657,962.1304347826087,804,948,832,977
20,832.766581632653,988.3979591836735,815,976,853,1004
21,841.9396751740139,549.5974477958237,822,536,864,565
22,908.5791650996615,1275.8969537420082,875,1242,950,1314
23,963.4594594594595,743.410472972973,943,726,988,764
24,1018.843295638126,1383.2164781906301,998,1372,1040,1392
