label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,25.25942350332594,506.39246119733923,3,494,49,520
2,42.63544303797468,423.10886075949367,15,410,71,437
3,39.89625360230548,1029.7483189241113,23,1012,60,1052
4,257.31662024141133,758.0445682451253,240,740,278,779
5,304.64380264741277,657.4235860409145,292,637,318,679
6,314.6409140369967,356.78563656147986,297,341,334,376
7,487.4216560509554,1226.4140127388534,471,1210,506,1245
8,550.7060766182299,951.5733157199471,527,928,578,976
9,632.8530303030303,1103.740909090909,619,1090,649,1120
10,648.2945879458795,848.7583025830259,624,828,678,873
11,696.6715025906735,1154.9056994818652,676,1141,719,1171
12,754.1675900277008,876.9023545706372,722,860,786,897
13,767.2219387755102,1215.2602040816328,750,1199,785,1233
14,777.7864823348694,1282.6482334869431,756,1265,802,1303
15,941.1411439114391,625.3044280442805,922,606,960,646
16,994.8758141554495,1216.7581415544942,972,1185,1022,1246
17,995.625,928.3505154639175,981,911,1012,946
18,1029.2798833819243,732.963556851312,1017,716,1040,751
