label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,278.88906882591095,665.9255060728744,260,646,301,689
2,276.0947109471095,1154.4280442804427,261,1137,293,1174
3,293.0010582010582,1070.421164021164,273,1054,313,1087
4,343.32118887823583,745.9568552253116,324,730,364,764
5,472.218251786696,1236.3172072567345,448,1210,497,1264
6,535.4445430346051,1130.5297249334517,517,1112,556,1151
7,589.9308909242299,983.0982514571191,570,965,614,1006
8,714.2754800590842,550.278434268833,692,531,738,573
9,782.5096952908588,367.2853185595568,758,353,808,382
10,900.2919525888958,836.9781659388647,875,819,930,859
11,1024.17,389.0211111111111,1008,371,1040,409
