label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,9.266666666666667,299.22828282828283,0,286,23,315
2,129.20524515393387,699.3124287343215,108,687,152,713
3,159.08574879227052,1364.1920289855072,139,1351,180,1379
4,220.99848254931715,661.3421851289833,200,640,244,685
5,478.6625734116391,1233.410037373198,451,1211,509,1256
6,536.0317596566524,1129.4412017167383,517,1111,558,1150
7,592.7779578606159,984.9578606158833,574,965,615,1008
8,720.3386316516932,550.1534208707671,696,532,747,574
9,716.6173986486486,962.0008445945946,698,943,738,983
10,786.5248618784531,496.40662983425415,768,478,805,515
11,903.9677233429395,837.5976945244956,876,820,936,860
12,958.5782029950083,392.78785357737104,941,372,977,417
13,963.6090283091048,316.1652639632747,943,296,987,338
14,1011.5956284153006,374.24863387978144,996,359,1030,389
