label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,51.387519260400616,1171.251155624037,31,1152,75,1195
2,234.73599240265906,1048.8983855650522,217,1031,256,1069
3,426.7670886075949,1239.9113924050632,407,1222,448,1260
4,435.6891284815813,524.3998203054807,415,508,459,542
5,468.6424361493124,1210.714145383104,450,1193,489,1229
6,560.4733333333334,486.1666666666667,535,470,588,504
7,661.0410347903658,750.4562890276538,626,728,696,775
8,659.2236580516899,945.2007952286282,634,920,687,973
9,713.6462010744436,545.7475057559478,691,526,736,568
10,713.3418502202643,422.8907488986784,697,403,734,447
11,839.4757858963467,923.1486830926083,803,902,876,947
12,852.8754966887417,1145.0132450331125,838,1130,870,1162
13,872.1779661016949,531.8027734976888,852,512,896,554
14,900.6212121212121,833.4106858054226,873,820,929,849
15,946.2295839753467,435.8551617873652,926,417,969,458
