label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,31.245754245754245,1368.3166833166833,13,1351,52,1388
2,301.8364779874214,997.2374213836478,288,983,317,1013
3,329.73905429071806,1305.4859894921192,310,1288,353,1326
4,403.28550295857985,1238.0547337278106,389,1222,418,1255
5,494.5690909090909,1208.3354545454545,478,1189,514,1231
6,522.9118881118881,263.33146853146854,509,247,539,281
7,538.2606502242153,1080.2886771300448,520,1053,562,1112
8,554.6173285198556,662.8835740072202,536,645,575,684
9,608.4270096463023,696.3228295819936,581,677,635,719
10,686.6198757763975,775.7664596273291,663,753,711,801
11,740.627197039778,797.7696577243294,710,758,779,836
12,758.6064718162839,382.13048016701464,740,366,779,400
13,824.6699604743083,235.57707509881422,808,217,842,257
14,849.8532654792197,703.5199321458864,824,688,876,719
15,875.2104868913858,492.42921348314604,837,463,914,521
16,894.1298635674583,839.8089944416372,861,823,932,861
17,898.1073619631902,919.888036809816,870,902,927,938
18,911.5711222301644,1088.5704074338814,889,1067,937,1113
