label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,297.0640083945435,901.0661070304302,279,885,317,921
2,443.4541910331384,200.71442495126706,428,181,461,222
3,511.6354453627181,597.494031221304,496,578,531,621
4,525.1589571068124,779.5306980656013,505,762,549,801
5,705.8147651006711,258.6751677852349,691,244,723,276
6,740.1971197119711,877.0909090909091,716,859,766,895
7,772.6210640608035,314.93919652551574,755,299,793,334
8,789.1529987760098,917.0428396572828,773,899,807,937
9,886.603713768116,1023.0004528985507,861,991,912,1053
10,977.6517671517671,111.85031185031185,954,99,1002,125
11,1022.2844600526778,1080.8489903424056,1002,1061,1040,1101
