label,Centroid-0,Centroid-1,bbox-0,bbox-1,bbox-2,bbox-3
1,40.936724565756826,187.00248138957815,25,172,60,205
2,56.296875,686.6595982142857,41,669,75,707
3,64.33230134158927,1126.2579979360164,42,1112,89,1139
4,90.4291754756871,554.4587737843552,74,538,110,574
5,98.21239954075774,223.81400688863374,79,210,120,241
6,100.93187066974596,1333.6812933025403,81,1318,121,1350
7,128.8191377497371,1083.099894847529,109,1067,150,1102
8,143.79531109107305,529.8647430117222,124,513,166,550
9,271.6607329842932,218.20523560209423,254,201,292,237
10,558.2972522897585,694.7943380516236,536,679,582,713
11,680.1550387596899,852.2160852713179,660,835,701,870
12,699.9173126614987,560.4883720930233,683,541,720,584
13,734.9089552238806,1140.573880597015,714,1120,758,1163
14,763.1670761670762,263.22768222768224,743,244,787,286
15,767.0649214659686,540.3047120418848,752,522,786,562
16,907.2315789473685,1105.9398496240601,892,1091,924,1120
17,936.7248407643312,1029.743949044586,915,1009,963,1053
18,970.9718875502008,1273.7429718875503,952,1261,991,1287
